player_id,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
662d8aeb,Julie Dufour,fr FRA,F,Thorns,24-173,2001,5,3,158,1.8,2,0,2,2,0,0,1,0,0.3,0.3,0.3,0.6,2,3,3,1.14,0.00,1.14,1.14,1.14,0.15,0.17,0.32,0.15,0.32,Matches
ae1d3e35,Kiley Dulaney,,D,Spirit,,,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
0b96a829,Evelina Duljan,se SWE,F,Dash,22-190,2003,14,5,455,5.1,1,0,1,1,0,0,0,0,0.3,0.3,0.7,1.0,15,15,35,0.20,0.00,0.20,0.20,0.20,0.06,0.13,0.19,0.06,0.19,Matches
8a2c0e33,Kayla Duran,,D,Gotham FC,,,7,1,97,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,4,5,0.00,0.00,0.00,0.00,0.00,0.16,0.10,0.26,0.16,0.26,Matches
c4f44958,Caprice Dydasco,us USA,D,Bay FC,32-091,1993,26,26,"2,340",26.0,0,1,1,0,0,0,4,0,0.3,0.3,2.0,2.2,38,118,67,0.00,0.04,0.04,0.00,0.04,0.01,0.08,0.09,0.01,0.09,Matches
ace997a7,Cori Dyke,us USA,D,Pride,25-059,2000,22,10,"1,174",13.0,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.4,16,75,30,0.08,0.00,0.08,0.08,0.08,0.01,0.02,0.03,0.01,0.03,Matches
55930662,Favour Emmanuel,ng NGA,M,Wave,23-072,2002,2,1,69,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
f2284088,Claire Emslie,sct SCO,F,Angel City,31-255,1994,8,7,519,5.8,0,1,1,0,0,0,0,0,1.2,1.2,1.3,2.5,14,21,41,0.00,0.17,0.17,0.00,0.17,0.20,0.23,0.43,0.20,0.43,Matches
f593cab9,Jun Endō,jp JPN,M,Angel City,25-178,2000,10,6,444,4.9,0,1,1,0,0,0,0,0,0.4,0.4,1.2,1.6,8,23,32,0.00,0.20,0.20,0.00,0.20,0.08,0.24,0.32,0.08,0.32,Matches
08f6cf52,Laurina Fazer,fr FRA,M,Wave,22-036,2003,9,6,504,5.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,17,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
28814cc8,Bayley Feist,us USA,M,Current,28-249,1997,9,1,172,1.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.3,3,13,5,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18,Matches
